Task ID,Module,Category/Modul,Task Name,Description,Priority,Status,Estimasi,Phase
REQ-001,Paket Request,Paket Request System,Form Permintaan Paket Custom,Buat form permintaan paket custom dengan detail lengkap (tanggal tujuan budget preferensi),High,To Do,8 jam,Fase 1
REQ-002,Paket Request,Paket Request System,Database Schema Paket Request,Design dan implement database schema untuk menyimpan data paket request,High,To Do,6 jam,Fase 1
REQ-003,Paket Request,Paket Request System,API Endpoint Paket Request,Buat API endpoints untuk CRUD operations paket request,High,To Do,8 jam,Fase 1
REQ-004,Paket Request,Paket Request System,Dashboard Admin Paket Request,Buat dashboard admin untuk melihat dan memproses paket request,High,To Do,12 jam,Fase 2
REQ-005,Paket Request,Paket Request System,Sistem Notifikasi Paket Request,Implement sistem notifikasi untuk status update paket request,Medium,To Do,8 jam,Fase 2
REQ-006,Paket Request,Paket Request System,Quote Generation System,Buat sistem untuk generate quote/penawaran paket request,High,To Do,10 jam,Fase 2
REQ-007,Paket Request,Paket Request System,Approval Workflow,Implement workflow approval untuk paket request (review approve/reject revision),Medium,To Do,12 jam,Fase 3
REQ-008,Paket Request,Paket Request System,Package Comparison Tool,Buat tool untuk bandingkan paket custom vs paket standard,Low,To Do,8 jam,Fase 3
REQ-009,Paket Request,Paket Request System,File Management System,Sistem manajemen file untuk dokumen pendukung paket request,Medium,To Do,8 jam,Fase 3
REQ-010,Paket Request,Paket Request System,Analytics & Reporting,Dashboard analytics untuk tracking performa paket request,Low,To Do,10 jam,Fase 4
UMR-001,Program Umrah,Program Umrah Management,Program Calendar & Schedule,Buat kalender program umrah dengan jadwal keberangkatan dan kuota,High,To Do,10 jam,Fase 1
UMR-002,Program Umrah,Program Umrah Management,Program Categories System,Sistem kategori program umrah (hemat standard premium VIP),High,To Do,6 jam,Fase 1
UMR-003,Program Umrah,Program Umrah Management,Hotel & Accommodation Management,Manajemen hotel dan akomodasi untuk setiap program umrah,High,To Do,12 jam,Fase 2
UMR-004,Program Umrah,Program Umrah Management,Flight & Transportation,Sistem manajemen jadwal penerbangan dan transportasi,High,To Do,10 jam,Fase 2
UMR-005,Program Umrah,Program Umrah Management,Itinerary Management,Manajemen itineraryprogram umrah dengan detail aktivitas harian,High,To Do,12 jam,Fase 2
UMR-006,Program Umrah,Program Umrah Management,Pilgrim Group Management,Sistem manajemen grup jemaah dengan leader dan anggota,High,To Do,10 jam,Fase 2
UMR-007,Program Umrah,Program Umrah Management,Meals & Catering System,Sistem manajemen makan dan katering untuk program umrah,Medium,To Do,8 jam,Fase 3
UMR-008,Program Umrah,Program Umrah Management,Guided Tours & Activities,Sistem tur berpemandu dan aktivitas spiritual,Medium,To Do,10 jam,Fase 3
UMR-009,Program Umrah,Program Umrah Management,Health & Medical Support,Sistem dukungan kesehatan dan medis selama program,Medium,To Do,8 jam,Fase 3
UMR-010,Program Umrah,Program Umrah Management,Emergency & Safety System,Sistem darurat dan keamanan untuk jemaah umrah,High,To Do,10 jam,Fase 3
UMR-011,Program Umrah,Program Umrah Management,Daily Reports & Updates,Sistem laporan harian dan update status jemaah,Medium,To Do,8 jam,Fase 4
UMR-012,Program Umrah,Program Umrah Management,Post-Umrah Feedback System,Sistem feedback dan review setelah selesai program,Low,To Do,6 jam,Fase 4
UMR-013,Program Umrah,Program Umrah Management,Program Analytics Dashboard,Dashboard analytics untuk tracking performa program umrah,Medium,To Do,10 jam,Fase 4
UMR-014,Program Umrah,Program Umrah Management,Multi-language Support,Dukungan multi-bahasa untuk jemaah internasional,Low,To Do,12 jam,Fase 4
HAJ-001,Pendaftaran Haji,Hajj Registration System,Hajj Quota Management,Sistem manajemen kuota haji per tahun dan per region,High,To Do,12 jam,Fase 1
HAJ-002,Pendaftaran Haji,Hajj Registration System,Hajj Application Form,Form aplikasi haji dengan validasi lengkap dan dokumen wajib,High,To Do,10 jam,Fase 1
HAJ-003,Pendaftaran Haji,Hajj Registration System,Eligibility Checker System,Sistem untuk mengecek kelayakan calon jemaah haji,High,To Do,8 jam,Fase 1
HAJ-004,Pendaftaran Haji,Hajj Registration System,Document Management System,Sistem manajemen dokumen persyaratan haji,High,To Do,12 jam,Fase 2
HAJ-005,Pendaftaran Haji,Hajj Registration System,Payment Plan & Package Selection,Sistem rencana pembayaran dan pemilihan paket haji,High,To Do,10 jam,Fase 2
HAJ-006,Pendaftaran Haji,Hajj Registration System,Health Screening System,Sistem screening kesehatan dan medical check-up,High,To Do,12 jam,Fase 2
HAJ-007,Pendaftaran Haji,Hajj Registration System,Training & Education Module,Modul pelatihan dan edukasi calon jemaah haji,Medium,To Do,15 jam,Fase 3
HAJ-008,Pendaftaran Haji,Hajj Registration System,Approval Workflow System,Sistem alur persetujuan aplikasi haji,High,To Do,10 jam,Fase 3
HAJ-009,Pendaftaran Haji,Hajj Registration System,Government Integration API,Integrasi dengan sistem pemerintah untuk verifikasi data,High,To Do,15 jam,Fase 3
HAJ-010,Pendaftaran Haji,Hajj Registration System,Group Formation System,Sistem pembentukan gruppo jemaah Haji,Medium,To Do,10 jam,Fase 3
HAJ-011,Pendaftaran Haji,Hajj Registration System,Pre-departure Orientation,Sistem orientasi pra-keberangkatan,Medium,To Do,8 jam,Fase 4
HAJ-012,Pendaftaran Haji,Hajj Registration System,Real-time Tracking System,Sistem pelacakan real-time durante viaje Haji,Medium,To Do,12 jam,Fase 4
HAJ-013,Pendaftaran Haji,Hajj Registration System,Communication Hub,Pusat komunikasi antara jemaah keluarga dan tour leader,Medium,To Do,10 jam,Fase 4
HAJ-014,Pendaftaran Haji,Hajj Registration System,Post-Hajj Documentation,Dokumentasi pasca-Haji (sertifikat foto laporan),Low,To Do,8 jam,Fase 4
HAJ-015,Pendaftaran Haji,Hajj Registration System,Compliance & Reporting,Sistem pelaporan dan kepatuhan regulasi,High,To Do,12 jam,Fase 4
