Category,Task ID,Title,Description,Priority,Status,Estimated Hours,Dependencies,Module,Complexity
Project Setup & Infrastructure,PS001,Setup Project Repository,Initialize Git repository and setup project structure,High,Todo,2,,Infrastructure,Low
Project Setup & Infrastructure,PS002,Database Design & Setup,Design and setup database schema for users packages bookings payments,High,Todo,8,,Infrastructure,Medium
Project Setup & Infrastructure,PS003,Authentication System Setup,Setup JWT tokens session management and security configurations,High,Todo,6,PS002,Infrastructure,Medium
Project Setup & Infrastructure,PS004,Google OAuth Integration,Integrate Google sign-in functionality,Medium,Todo,4,PS003,Authentication,Medium
Project Setup & Infrastructure,PS005,File Upload System,Setup secure file upload for KTP Passport documents and payment proofs,Medium,Todo,5,PS002,Infrastructure,Medium
User Authentication & Profile Management,AU001,User Registration System,Create registration form with validation and email verification,High,Todo,6,PS003,Authentication,Medium
User Authentication & Profile Management,AU002,User Login System,Implement login form with email/password and remember me feature,High,Todo,4,PS003,Authentication,Low
User Authentication & Profile Management,AU003,Google Sign-in Integration,Complete Google OAuth implementation for seamless login,Medium,Todo,4,PS004 AU002,Authentication,Medium
User Authentication & Profile Management,AU004,Profile Management Interface,Create comprehensive profile management UI with all user details,High,Todo,8,AU001 PS005,User Management,High
User Authentication & Profile Management,AU005,ID Document Management,Upload and manage KTP Passport photos and document numbers,High,Todo,6,PS005 AU004,User Management,Medium
User Authentication & Profile Management,AU006,Password Management System,Implement forgot password and change password functionality,Medium,Todo,4,AU002,Authentication,Low
User Authentication & Profile Management,AU007,Bank Details Management,Add bank account information for refunds (bank name account number account name),Medium,Todo,3,AU004,User Management,Low
Package Management System,PM001,Package Types Implementation,Create database and UI for: paket private umrah plus (negara) umrah plus (lokal) umrah plus liburan paket request,High,Todo,10,PS002,Package Management,High
Package Management System,PM002,Package Class System,Implement package classes: super executive executive bisnis ekonomis premium with ratings,High,Todo,8,PM001,Package Management,Medium
Package Management System,PM003,Package Details Management,Create forms for package description departure/return dates flight info hotel details,High,Todo,12,PM001,Package Management,High
Package Management System,PM004,Room Type System,Implement room type selection: Double Triple Quad with pricing,Medium,Todo,6,PM003,Package Management,Medium
Package Management System,PM005,Facilities Management,Manage included facilities: air zamzam snacks food & drinks mutawwif tour leader handling transportation administration equipment visa flight tickets,Medium,Todo,8,PM003,Package Management,Medium
Package Management System,PM006,Package Display System,Create package listing with availability total sales ratings and filtering options,High,Todo,10,PM001 PM002 PM005,Package Management,High
Package Management System,PM007,Package Detail View,Design comprehensive package detail page with all information and booking CTA,High,Todo,8,PM006,Package Management,Medium
Booking System,BK001,Multi-step Booking Form,Create multi-step booking process with progress indicator,High,Todo,12,PM007,Booking,High
Booking System,BK002,Pilgrim Data Collection,Implement pilgrim data form with full name age gender ID numbers,High,Todo,10,BK001,Booking,High
Booking System,BK003,Jemaah Counter System,Create counter for jumlah jemaah with bayi (infant) and dewasa (adult) options,High,Todo,6,BK001,Booking,Medium
Booking System,BK004,Pilgrim Type Selection,Implement tipe jamaah selection with appropriate categorization,Medium,Todo,4,BK003,Booking,Low
Booking System,BK005,Room Assignment System,Automatic room allocation based on jumlah jemaah and room type preferences,Medium,Todo,8,BK003 PM004,Booking,Medium
Booking System,BK006,Booking Summary & Review,Create booking summary page with all details for user confirmation,High,Todo,6,BK001 BK005,Booking,Medium
Payment Management System,PY001,Bank Transfer Payment System,Implement bank transfer payment with destination bank account name account number,High,Todo,10,BK006,Payment,High
Payment Management System,PY002,Transaction Code Generation,Create unique transaction codes for each payment,High,Todo,4,PY001,Payment,Low
Payment Management System,PY003,Payment Proof Upload,Allow users to upload payment proof screenshots/documents,High,Todo,6,PY001 PS005,Payment,Medium
Payment Management System,PY004,Moota Integration,Integrate Moota API for automatic payment verification by checking transaction nominal,High,Todo,12,PY002 PY003,Payment,High
Payment Management System,PY005,Payment Status Management,Implement payment status tracking: belum bayar belum lunas diproses/sedang dikonfirmasi sudah bayar,High,Todo,8,PY004,Payment,Medium
Order Management System,OM001,Order Tracking System,Create order tracking with comprehensive status management,High,Todo,10,PY005,Order Management,Medium
Order Management System,OM002,Order Status Implementation,Implement all order statuses: selesai aktif sedang berjalan sudah bayar berangkat diproses belum lunas belum bayar,High,Todo,8,OM001,Order Management,Medium
Order Management System,OM003,Order History & Management,Create user order history page with filtering and search capabilities,Medium,Todo,8,OM001,Order Management,Medium
